GEOID,year,pct_depression,pct_poor_mh_days
30041,2019,24.4,16.8
30041,2023,26.8,21.0
30043,2019,23.8,13.9
30043,2023,24.3,17.5
30047,2019,23.6,16.4
30047,2023,26.7,19.8
30049,2019,24.0,13.4
30049,2023,27.0,18.1
30053,2019,24.6,16.6
30053,2023,27.4,20.4
30057,2019,22.4,13.4
30057,2023,23.9,17.7
30059,2019,24.2,15.1
30059,2023,25.3,18.4
30061,2019,25.6,17.1
30061,2023,26.1,19.0
30063,2019,25.8,14.2
30063,2023,26.7,17.8
30065,2019,24.6,16.2
30065,2023,25.5,19.2
30067,2019,23.1,14.4
30067,2023,24.2,17.9
30069,2019,23.1,14.3
30069,2023,24.4,18.3
30071,2019,23.6,16.0
30071,2023,26.0,19.6
30073,2019,25.8,16.2
30073,2023,26.8,21.0
30075,2019,24.6,15.3
30075,2023,24.4,18.5
30077,2019,22.6,14.8
30077,2023,23.0,18.3
30081,2019,23.6,15.2
30081,2023,24.4,17.8
30083,2019,22.9,14.0
30083,2023,23.8,17.8
30085,2019,25.7,20.1
30085,2023,26.9,22.7
30087,2019,24.7,17.3
30087,2023,25.4,21.6
30089,2019,24.8,17.2
30089,2023,26.0,19.9
30091,2019,22.9,14.7
30091,2023,25.6,18.8
30095,2019,24.0,14.1
30095,2023,24.7,17.8
30097,2019,23.1,14.4
30097,2023,25.1,18.4
30099,2019,24.2,15.5
30099,2023,25.5,19.2
30103,2019,24.3,15.8
30103,2023,25.1,18.4
30105,2019,24.4,15.7
30105,2023,25.3,19.5
30107,2019,24.6,16.8
30107,2023,26.8,20.3
30109,2019,23.6,15.1
30109,2023,25.9,19.2
30111,2019,27.9,15.2
30111,2023,28.2,18.6
31017,2019,17.2,13.6
31017,2023,18.6,15.8
31019,2019,15.3,11.9
31019,2023,18.3,14.9
31021,2019,16.9,13.0
31021,2023,18.9,15.8
31033,2019,16.3,12.2
31033,2023,18.4,15.8
31041,2019,16.6,13.1
31041,2023,18.0,15.3
31045,2019,15.8,12.2
31045,2023,18.8,15.3
31047,2019,14.3,12.3
31047,2023,15.8,14.4
31061,2019,17.1,13.5
31061,2023,19.9,16.5
31069,2019,15.6,12.1
31069,2023,19.3,16.3
31071,2019,16.0,12.1
31071,2023,18.3,14.9
31075,2019,16.2,13.0
31075,2023,18.7,15.0
31085,2019,15.9,13.2
31085,2023,18.8,15.7
31087,2019,16.7,13.1
31087,2023,19.0,16.0
31091,2019,16.2,12.6
31091,2023,19.2,16.0
31099,2019,15.4,12.0
31099,2023,17.9,14.2
31101,2019,16.4,12.6
31101,2023,17.4,15.2
31105,2019,16.1,13.3
31105,2023,19.2,16.4
31113,2019,16.2,13.1
31113,2023,18.2,14.7
31121,2019,16.6,13.0
31121,2023,19.1,15.8
31123,2019,15.1,12.2
31123,2023,18.4,15.6
31127,2019,16.3,12.5
31127,2023,19.3,15.9
31133,2019,17.4,14.9
31133,2023,19.3,16.6
31137,2019,15.3,12.3
31137,2023,19.1,15.5
31141,2019,14.0,11.4
31141,2023,16.4,14.4
31147,2019,16.2,13.3
31147,2023,19.5,15.9
31149,2019,15.6,12.1
31149,2023,18.6,15.1
31161,2019,16.2,13.6
31161,2023,18.3,15.8
31165,2019,16.0,12.3
